project_id (N) (P),project_name (T),start_date (D),budget (N)
385,Paul Aguilar,2021-06-09,748
4775,John Gill,2022-09-01,566
7847,Karen Bell,2020-10-13,314
5323,Alexis Leblanc,2020-07-09,282
3420,Edward Jones,2022-01-19,664
9638,Marie Jones,2023-04-24,622
5833,Jesse Stone,2020-12-06,29
5802,Zachary Horne,2022-02-08,939
7800,Megan Greene,2022-08-30,144
6249,Mr. Douglas Lee,2020-07-03,198
7497,Casey Haynes,2021-04-26,38
4995,Brian Simpson,2023-03-05,767
2029,Mark Smith,2023-06-12,790
2815,Kevin Foster,2021-03-08,238
570,Lauren Wheeler,2020-05-08,448
1729,Erin Webb,2023-04-27,476
7889,Shannon Smith,2021-02-02,440
1963,Sharon Davis,2022-12-06,717
8574,Eric Barton,2020-05-27,348
7199,Zachary Maldonado,2021-01-04,209
2485,Joseph Stone,2022-05-25,690
1330,Steven Roth,2021-09-03,434
5398,Nancy Jones,2020-08-15,286
5867,John Briggs,2021-12-08,383
9908,Christopher Mullen,2021-01-19,450
3370,Linda Beasley,2021-01-01,810
829,Tristan Ortega,2021-04-07,587
8262,Adriana Phillips,2023-08-07,143
5051,Latasha Cunningham,2023-03-01,946
4150,Matthew Myers,2020-11-02,546
1326,Donald Johnson,2020-12-26,118
6736,Zachary Atkins,2020-09-24,412
9339,Kaitlyn Hendricks,2023-10-04,963
646,Rebecca Nelson,2020-10-19,37
8589,Joshua Green,2022-05-12,520
2096,Emily Gutierrez,2020-07-18,440
4566,Michelle Holder,2020-04-12,154
471,Melissa Doyle,2022-06-06,686
572,Jessica Barnes,2020-08-26,558
3075,Mark Adams,2023-02-16,964
848,Kimberly Whitehead,2020-03-09,807
8621,Lawrence Cook,2022-12-10,202
5741,Tanner Alvarado,2021-10-08,300
320,Jennifer Compton,2020-08-10,765
16,Brian Crawford,2023-12-15,345
5879,Deborah Mckinney,2023-08-17,918
9318,Gabrielle Pierce,2021-09-26,397
7049,Kelsey Herrera,2020-10-30,40
3809,Joseph Rodriguez,2020-09-15,496
9103,Robert Henry,2021-08-10,887
